code_system,currency,domain,effective_from,effective_to,facility_component,item_code,item_description,item_label,jurisdiction,patient_amount,payment_amount,payment_unit,professional_component,provenance,restriction_text,setting,source_id
PBS,AUD,medicines,2026-07-01,,False,10014C,Tablet 150 mg (as hydrochloride),Erlotinib,Australia,,469.61,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10015D,"Pressurised inhalation containing budesonide 100 micrograms with formoterol fumarate dihydrate 3 micrograms per dose, 120 doses",Budesonide + formoterol,Australia,,13.4,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10017F,"Dressings 10.3 cm x 10.3 cm, 10",dressing foam with silicone,Australia,,59.15,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10018G,"Pressurised inhalation containing budesonide 200 micrograms with formoterol fumarate dihydrate 6 micrograms per dose, 120 doses",Budesonide + formoterol,Australia,,22.06,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10019H,Tablet 100 mg (as hydrochloride),Erlotinib,Australia,,379.6,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10020J,Tablet 100 mg (as hydrochloride),Erlotinib,Australia,,379.6,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10021K,"Dressings 21 cm x 21 cm, 10",dressing foam with silicone,Australia,,262.68,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10022L,Tablet 25 mg (as hydrochloride),Erlotinib,Australia,,104.59,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10023M,"Dressings 15.4 cm x 15.4 cm, 10",dressing foam with silicone,Australia,,126.5,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10025P,Tablet 150 mg (as hydrochloride),Erlotinib,Australia,,469.61,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
