action,is_official_github_action,line,pin_class,policy_note,policy_status,ref,uses,workflow
actions/checkout,True,25,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/osf.yml
astral-sh/setup-uv,False,28,sha,Action is pinned to a full commit SHA.,pass,fac544c07dec837d0ccb6301d7b5580bf5edae39,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,.github/workflows/osf.yml
actions/setup-go,True,29,sha,Action is pinned to a full commit SHA.,pass,924ae3a1cded613372ab5595356fb5720e22ba16,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,.github/workflows/osf.yml
actions/upload-artifact,True,53,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/osf.yml
actions/checkout,True,70,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/osf.yml
actions/setup-go,True,73,sha,Action is pinned to a full commit SHA.,pass,924ae3a1cded613372ab5595356fb5720e22ba16,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,.github/workflows/osf.yml
actions/checkout,True,18,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/release-readiness.yml
astral-sh/setup-uv,False,21,sha,Action is pinned to a full commit SHA.,pass,fac544c07dec837d0ccb6301d7b5580bf5edae39,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,.github/workflows/release-readiness.yml
actions/setup-node,True,22,sha,Action is pinned to a full commit SHA.,pass,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,.github/workflows/release-readiness.yml
actions/upload-artifact,True,42,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/release-readiness.yml
actions/checkout,True,17,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/release.yml
prefix-dev/setup-pixi,False,20,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/release.yml
actions/attest,True,30,sha,Action is pinned to a full commit SHA.,pass,a1948c3f048ba23858d222213b7c278aabede763,actions/attest@a1948c3f048ba23858d222213b7c278aabede763,.github/workflows/release.yml
actions/attest,True,34,sha,Action is pinned to a full commit SHA.,pass,a1948c3f048ba23858d222213b7c278aabede763,actions/attest@a1948c3f048ba23858d222213b7c278aabede763,.github/workflows/release.yml
actions/attest,True,38,sha,Action is pinned to a full commit SHA.,pass,a1948c3f048ba23858d222213b7c278aabede763,actions/attest@a1948c3f048ba23858d222213b7c278aabede763,.github/workflows/release.yml
softprops/action-gh-release,False,54,sha,Action is pinned to a full commit SHA.,pass,718ea10b132b3b2eba29c1007bb80653f286566b,softprops/action-gh-release@718ea10b132b3b2eba29c1007bb80653f286566b,.github/workflows/release.yml
actions/checkout,True,22,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/repo-automation.yml
prefix-dev/setup-pixi,False,25,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/repo-automation.yml
actions/checkout,True,22,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/scorecard.yml
ossf/scorecard-action,False,26,sha,Action is pinned to a full commit SHA.,pass,4eaacf0543bb3f2c246792bd56e8cdeffafb205a,ossf/scorecard-action@4eaacf0543bb3f2c246792bd56e8cdeffafb205a,.github/workflows/scorecard.yml
github/codeql-action/upload-sarif,True,32,sha,Action is pinned to a full commit SHA.,pass,54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,github/codeql-action/upload-sarif@54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,.github/workflows/scorecard.yml
actions/checkout,True,23,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/security-assurance.yml
rhysd/actionlint,False,26,sha,Action is pinned to a full commit SHA.,pass,03d0035246f3e81f36aed592ffb4bebf33a03106,rhysd/actionlint@03d0035246f3e81f36aed592ffb4bebf33a03106,.github/workflows/security-assurance.yml
actions/checkout,True,32,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/security-assurance.yml
gitleaks/gitleaks-action,False,36,sha,Action is pinned to a full commit SHA.,pass,ff98106e4c7b2bc287b24eaf42907196329070c7,gitleaks/gitleaks-action@ff98106e4c7b2bc287b24eaf42907196329070c7,.github/workflows/security-assurance.yml
actions/checkout,True,46,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/security-assurance.yml
astral-sh/setup-uv,False,49,sha,Action is pinned to a full commit SHA.,pass,fac544c07dec837d0ccb6301d7b5580bf5edae39,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,.github/workflows/security-assurance.yml
actions/upload-artifact,True,64,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/security-assurance.yml
actions/checkout,True,20,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/security.yml
github/codeql-action/init,True,23,sha,Action is pinned to a full commit SHA.,pass,54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,github/codeql-action/init@54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,.github/workflows/security.yml
github/codeql-action/analyze,True,27,sha,Action is pinned to a full commit SHA.,pass,54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,github/codeql-action/analyze@54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,.github/workflows/security.yml
actions/checkout,True,36,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/security.yml
actions/dependency-review-action,True,39,sha,Action is pinned to a full commit SHA.,pass,a1d282b36b6f3519aa1f3fc636f609c47dddb294,actions/dependency-review-action@a1d282b36b6f3519aa1f3fc636f609c47dddb294,.github/workflows/security.yml
actions/checkout,True,46,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/security.yml
prefix-dev/setup-pixi,False,49,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/security.yml
actions/checkout,True,61,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/security.yml
actions/setup-node,True,64,sha,Action is pinned to a full commit SHA.,pass,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,.github/workflows/security.yml
actions/checkout,True,16,sha,Action is pinned to a full commit SHA.,pass,df4cb1c069e1874edd31b4311f1884172cec0e10,actions/checkout@df4cb1c069e1874edd31b4311f1884172cec0e10,.github/workflows/stack-canary.yml
actions/setup-python,True,19,sha,Action is pinned to a full commit SHA.,pass,42375524e23c412d93fb67b49958b491fce71c38,actions/setup-python@42375524e23c412d93fb67b49958b491fce71c38,.github/workflows/stack-canary.yml
astral-sh/setup-uv,False,22,sha,Action is pinned to a full commit SHA.,pass,fac544c07dec837d0ccb6301d7b5580bf5edae39,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,.github/workflows/stack-canary.yml
prefix-dev/setup-pixi,False,23,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/stack-canary.yml
actions/setup-node,True,24,sha,Action is pinned to a full commit SHA.,pass,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,.github/workflows/stack-canary.yml
actions/upload-artifact,True,69,sha,Action is pinned to a full commit SHA.,pass,ea165f8d65b6e75b540449e92b4886f43607fa02,actions/upload-artifact@ea165f8d65b6e75b540449e92b4886f43607fa02,.github/workflows/stack-canary.yml
actions/checkout,True,16,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/uv-quality.yml
astral-sh/setup-uv,False,19,sha,Action is pinned to a full commit SHA.,pass,fac544c07dec837d0ccb6301d7b5580bf5edae39,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,.github/workflows/uv-quality.yml
actions/setup-node,True,20,sha,Action is pinned to a full commit SHA.,pass,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,.github/workflows/uv-quality.yml
actions/upload-artifact,True,29,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/uv-quality.yml
actions/checkout,True,29,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/workflow-security.yml
prefix-dev/setup-pixi,False,32,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/workflow-security.yml
actions/upload-artifact,True,38,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/workflow-security.yml
actions/checkout,True,51,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/workflow-security.yml
astral-sh/setup-uv,False,54,sha,Action is pinned to a full commit SHA.,pass,fac544c07dec837d0ccb6301d7b5580bf5edae39,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,.github/workflows/workflow-security.yml
github/codeql-action/upload-sarif,True,60,sha,Action is pinned to a full commit SHA.,pass,54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,github/codeql-action/upload-sarif@54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,.github/workflows/workflow-security.yml
