added_columns,id,left_checksum_sha256,left_label,left_path,left_row_count,recommended_action,removed_columns,right_checksum_sha256,right_label,right_path,right_row_count,row_count_delta,row_count_delta_pct,status
[],source_drift_source_registry_jsonl_to_source_registry_csv,ab9505309ce996c0fe5508408705cdb6b860220f3e7cdbafea237608cbfba6a3,source_registry_jsonl,data/seed/source_registry.jsonl,64,No schema or row-count drift detected.,[],90928c47a4faa82ac32dff6dfd6d99c323cb3cc6e004e76689df0474e9b60a96,source_registry_csv,data/seed/source_registry.csv,64,0,0.0,pass
[],source_drift_dataset_candidates_jsonl_to_dataset_candidates_csv,7e4ec2e7964ae6e399951a00ad75ed28a625f0e092f946360a5ddbffc04db8db,dataset_candidates_jsonl,data/seed/dataset_candidates.jsonl,15,No schema or row-count drift detected.,[],0f96cb44526b519f72ae5f5eda42747132b8b55320f632fe584064cf1b35800f,dataset_candidates_csv,data/seed/dataset_candidates.csv,15,0,0.0,pass
[],source_drift_research_questions_jsonl_to_research_questions_csv,33c3fe815ba6f5e8f8a7d37027f9683a7de2206a20faa6620d70823e0a5b56bf,research_questions_jsonl,data/seed/research_questions.jsonl,5,No schema or row-count drift detected.,[],a470bef54b603b7ae5d5624c4bf3684143ff48793c5bae028181fce8bc0a20c9,research_questions_csv,data/seed/research_questions.csv,5,0,0.0,pass
[],source_drift_roadmap_functions_jsonl_to_roadmap_functions_csv,7ac83941b9b4a1522a5b720d6f0ac9defcb086b5ac1db0962e014df10f6cc01c,roadmap_functions_jsonl,data/seed/roadmap_functions.jsonl,45,No schema or row-count drift detected.,[],7cdb19eca1ae869c1cb523ac6e6f8fae6c587669910236d4fe59dc6d8519c3ff,roadmap_functions_csv,data/seed/roadmap_functions.csv,45,0,0.0,pass
[],source_drift_source_validation_jsonl_to_source_validation_csv,cf1dfb8c94f484fa77281eda81f3025570a80819ad05fe8a66bf6a33a478aa64,source_validation_jsonl,data/derived/source_validation/source_content_validation.jsonl,11,No schema or row-count drift detected.,[],916732e9e6816161ea757cf9187a3107fb527f6020aa4dce87cbf44f6995ec6f,source_validation_csv,data/derived/source_validation/source_content_validation.csv,11,0,0.0,pass
[],source_drift_data_quality_jsonl_to_data_quality_csv,2c0107b20b85567a64b5dd63c66d912e45929e8cafb653a6c0b8a743e6446e73,data_quality_jsonl,data/derived/data_quality/data_quality_checks.jsonl,41,No schema or row-count drift detected.,[],87b34aa8c10d0d15390842fc3a9706126cc17e1edfc1141024bcf9673eb776c2,data_quality_csv,data/derived/data_quality/data_quality_checks.csv,41,0,0.0,pass
[],source_drift_source_contracts_jsonl_to_source_contracts_csv,471ad53481a4688592b3af7b7dca30690a70f084f8073c469b05146e1c5fa8d8,source_contracts_jsonl,data/derived/source_contracts/source_contract_validation.jsonl,11,No schema or row-count drift detected.,[],6436c78fd3d291ae63cb777ba351bf3d14ca873b28467d463eb0e806bb085146,source_contracts_csv,data/derived/source_contracts/source_contract_validation.csv,11,0,0.0,pass
[],source_drift_github_project_jsonl_to_github_project_csv,dd6ae59ecbf22c4c71bbeeb803a13a4b16f3dc52a042bfbbd2f836f0c8749d8e,github_project_jsonl,data/derived/github_project/github_project_items.jsonl,243,No schema or row-count drift detected.,[],e40dd9238617859fde4b92273d3e1323a338c8f1cd188b686f2fc60480dec86f,github_project_csv,data/derived/github_project/github_project_items.csv,243,0,0.0,pass
[],source_drift_final_handoff_jsonl_to_final_handoff_csv,6eab1b8620801250ca45f167526423e0b8617dface30eeace41af2a1180ae538,final_handoff_jsonl,data/derived/final_handoff/final_handoff_tasks.jsonl,11,No schema or row-count drift detected.,[],5aa676a6fb9bc05b2e75c5aa5c99882f4ad271c77c06b95fee85ad6da4baae14,final_handoff_csv,data/derived/final_handoff/final_handoff_tasks.csv,11,0,0.0,pass
