available_linkage_count,blocked_linkage_count,claim_package_sha256,claim_package_status,claim_review_record,data_quality_blockers,dataset_linkage_count,id,mapping_resource_count,missing_linkage_count,output_plan_count,planned_linkage_count,protocol_score,readiness_score,readiness_stage,recommended_action,research_question_id,source_validation_blockers,track_id
6,0,f591eb782640857d69ab3b68aef8ec2c36ad6c6cc1ac9c6bd978b41d3be792c6,approved,data/research_claims/genomics_coverage_price_review.json,0,4,evidence_readiness_rq_genomics_coverage_price,4,0,2,3,0.919,0.9083,evidence_ready,Scoped claim package is evidence-ready within its approved boundaries.,rq_genomics_coverage_price,0,track_policy_demonstrators
5,0,826b3f0314a9dbf6a65c8707490baa22adbe3e968c9fe982aa45d07bff861b97,approved,data/research_claims/cognitive_procedural_review.json,0,3,evidence_readiness_rq_cognitive_procedural,6,0,2,5,0.9183,0.8461,evidence_ready,Scoped claim package is evidence-ready within its approved boundaries.,rq_cognitive_procedural,0,track_policy_demonstrators
5,0,0e3e4a7e78167e463ea5627712bfa1d4ed477634d663a039712aba218f661791,approved,data/research_claims/medicine_opacity_review.json,0,3,evidence_readiness_rq_medicine_opacity,2,0,2,1,0.9181,0.8708,evidence_ready,Scoped claim package is evidence-ready within its approved boundaries.,rq_medicine_opacity,0,track_policy_demonstrators
5,0,1173436f4de00273c24738a321341a2192bb37b3c6fae44c60834d480bc4af83,approved,data/research_claims/local_national_coverage_review.json,0,3,evidence_readiness_rq_local_national_coverage,6,0,2,5,0.9186,0.8462,evidence_ready,Scoped claim package is evidence-ready within its approved boundaries.,rq_local_national_coverage,0,track_policy_demonstrators
3,0,bdcea6fa2b9c2ba84f9f15dd5a2a306a9ffef8c8ca5eeeea92242163099ed5a2,approved,data/research_claims/source_transparency_review.json,0,1,evidence_readiness_rq_source_transparency,6,0,2,5,0.9235,0.7394,evidence_ready,Scoped claim package is evidence-ready within its approved boundaries.,rq_source_transparency,0,track_policy_demonstrators
