acquisition_id,byte_size,evidence_id,evidence_kind,fixity_verified_at,immutable_locator,notes,payload_sha256,rights_state,source_id,source_locator,source_version_id
sha256:07563bbba8bad0a8e5b51cf383edcf21f347b8dd3880757df6e19ef0ee3eb5b6,135983,evidence:sha256:07563bbba8bad0a8e5b51cf383edcf21f347b8dd3880757df6e19ef0ee3eb5b6,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:07563bbba8bad0a8e5b51cf383edcf21f347b8dd3880757df6e19ef0ee3eb5b6,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,07563bbba8bad0a8e5b51cf383edcf21f347b8dd3880757df6e19ef0ee3eb5b6,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/d4bd04ca56657072ca258df70023b066/$FILE/54354662.csv/Health%20Insurance%20Regulations%202018%20-%20Basic%20Service%20Description%20for%20Assignment%20of%20Medicare%20Benefits.csv,au_mbs_historical_0008
sha256:07618850aef7882653b00c21d0da3e9b00449fe905b03b407a169221649ceb88,22436229,evidence:sha256:07618850aef7882653b00c21d0da3e9b00449fe905b03b407a169221649ceb88,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:07618850aef7882653b00c21d0da3e9b00449fe905b03b407a169221649ceb88,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,07618850aef7882653b00c21d0da3e9b00449fe905b03b407a169221649ceb88,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/515793D58E889BD0CA257CD100033990/$File/1978-MBS.pdf,au_mbs_historical_0075
sha256:07ea7e7767619acea74dc6d82bfdbac8f5cd340130cd1811612d3ea340db413f,349707,evidence:sha256:07ea7e7767619acea74dc6d82bfdbac8f5cd340130cd1811612d3ea340db413f,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:07ea7e7767619acea74dc6d82bfdbac8f5cd340130cd1811612d3ea340db413f,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,07ea7e7767619acea74dc6d82bfdbac8f5cd340130cd1811612d3ea340db413f,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/515793D58E889BD0CA257CD100033990/$File/2005-11-Optom.pdf,au_mbs_historical_0139
sha256:0866134a406f823523d2a963108c61d86c4891881987d79b4d21f0c2de89293a,86281,evidence:sha256:0866134a406f823523d2a963108c61d86c4891881987d79b4d21f0c2de89293a,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0866134a406f823523d2a963108c61d86c4891881987d79b4d21f0c2de89293a,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0866134a406f823523d2a963108c61d86c4891881987d79b4d21f0c2de89293a,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/8F3FA58ED97DCA35CA2584BE00111151/$File/202001-Cat2.zip,au_mbs_historical_0201
sha256:08aad0461198d78c4943e21fbe5f55af2a5945bee306e30f0bbc8401d8f173ea,16931231,evidence:sha256:08aad0461198d78c4943e21fbe5f55af2a5945bee306e30f0bbc8401d8f173ea,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:08aad0461198d78c4943e21fbe5f55af2a5945bee306e30f0bbc8401d8f173ea,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,08aad0461198d78c4943e21fbe5f55af2a5945bee306e30f0bbc8401d8f173ea,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/90CB91EE0B6FB8A9CA2586140082584E/$File/201802-MBS.pdf,au_mbs_historical_0222
sha256:0913aa5f6ba9bcbb587f8ec39c1b35233b787b819c5e8ba3bf0a11d0d3b974e3,189071,evidence:sha256:0913aa5f6ba9bcbb587f8ec39c1b35233b787b819c5e8ba3bf0a11d0d3b974e3,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0913aa5f6ba9bcbb587f8ec39c1b35233b787b819c5e8ba3bf0a11d0d3b974e3,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0913aa5f6ba9bcbb587f8ec39c1b35233b787b819c5e8ba3bf0a11d0d3b974e3,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/E137A6BDE8494881CA2585FF000A72FF/$File/201201-Dental.pdf,au_mbs_historical_0296
sha256:0979fdc4bc9c268c8f86e69946636ca9c4adc994eb9e581ff172ce1afd279976,447992,evidence:sha256:0979fdc4bc9c268c8f86e69946636ca9c4adc994eb9e581ff172ce1afd279976,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0979fdc4bc9c268c8f86e69946636ca9c4adc994eb9e581ff172ce1afd279976,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0979fdc4bc9c268c8f86e69946636ca9c4adc994eb9e581ff172ce1afd279976,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/515793D58E889BD0CA257CD100033990/$File/2007-05-Pathology.pdf,au_mbs_historical_0146
sha256:0a179f9c622c9b842c37a6a557759ed523a7be1b053aafcb498864e7da8262df,3997414,evidence:sha256:0a179f9c622c9b842c37a6a557759ed523a7be1b053aafcb498864e7da8262df,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0a179f9c622c9b842c37a6a557759ed523a7be1b053aafcb498864e7da8262df,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0a179f9c622c9b842c37a6a557759ed523a7be1b053aafcb498864e7da8262df,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/515793D58E889BD0CA257CD100033990/$File/201011-MBS.pdf,au_mbs_historical_0175
sha256:0a480d3e7cede5cd4c72250939ebcfa76f8a8b9776fc6629158c4dfa57ae488f,1010374,evidence:sha256:0a480d3e7cede5cd4c72250939ebcfa76f8a8b9776fc6629158c4dfa57ae488f,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0a480d3e7cede5cd4c72250939ebcfa76f8a8b9776fc6629158c4dfa57ae488f,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0a480d3e7cede5cd4c72250939ebcfa76f8a8b9776fc6629158c4dfa57ae488f,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/5DCECCA2E8B2062CCA2586F100070995/$File/202007-Cat4.pdf,au_mbs_historical_0179
sha256:0a8f73832a220851ceb0bcbc0adbe76a07b9978f1dd8acc880b094ef51502b7f,5260125,evidence:sha256:0a8f73832a220851ceb0bcbc0adbe76a07b9978f1dd8acc880b094ef51502b7f,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0a8f73832a220851ceb0bcbc0adbe76a07b9978f1dd8acc880b094ef51502b7f,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0a8f73832a220851ceb0bcbc0adbe76a07b9978f1dd8acc880b094ef51502b7f,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/E137A6BDE8494881CA2585FF000A72FF/$File/201201-MBS.pdf,au_mbs_historical_0297
