decided_at,decision_id,from_layer,input_sha256,passed_gate_ids,reason_codes,required_gate_ids,scope_notes,status,subject_id,to_layer
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_1989_2010_previous_downloads_page,bronze_b1,"[""a63593337b01dbeb88b1962c13f1cfccf91f972a5ca91b858a827ea9d4caf0db""]",[],"[""b2_evidence_missing""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,blocked,sha256:4833c583f6cf2913d39689868c3cadd5f3dae95638c298983c926002063d0f73,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0147,bronze_b1,"[""5e3b62434170e4c80b16e3abe18f3a9024c01cce6f0070e9e2ec9deb9eed38a7""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:5e3b62434170e4c80b16e3abe18f3a9024c01cce6f0070e9e2ec9deb9eed38a7,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0023,bronze_b1,"[""2685f58d967beffad29bdeba7e9b98f52b9a0d49bb390e8bf52f0ac057076a74""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:2685f58d967beffad29bdeba7e9b98f52b9a0d49bb390e8bf52f0ac057076a74,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0201,bronze_b1,"[""0866134a406f823523d2a963108c61d86c4891881987d79b4d21f0c2de89293a""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:0866134a406f823523d2a963108c61d86c4891881987d79b4d21f0c2de89293a,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0301,bronze_b1,"[""10d4a90537b250cf26260fdcdf47bcfb619f21e21700aaceffc046e4fc1efd9b""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:10d4a90537b250cf26260fdcdf47bcfb619f21e21700aaceffc046e4fc1efd9b,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0224,bronze_b1,"[""2530933abfd5886b4dd15197e4c7b069be46f0daa1eb898d46213af293e6b56b""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:2530933abfd5886b4dd15197e4c7b069be46f0daa1eb898d46213af293e6b56b,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0304,bronze_b1,"[""6b74447b39c86854cdfbca2dabdabb46801c6ade0cee5415b7561922d4001a68""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:6b74447b39c86854cdfbca2dabdabb46801c6ade0cee5415b7561922d4001a68,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0035,bronze_b1,"[""49e28165c7c47b767a8fd28edc8acc908050a362bd5ca8999832681897063c66""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:49e28165c7c47b767a8fd28edc8acc908050a362bd5ca8999832681897063c66,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_pbs_api_v3_current_month,bronze_b1,"[""f34b63c64151cb03d698e10e30f2609ffaa3c6a34d8217c1f8c73375747b5361""]",[],"[""b2_evidence_missing""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,blocked,sha256:4b839d9aca5aec9ba5fd024a7d9f415131f1e3b1cca3a727697d96a20c492d2f,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:us_cms_asp_july_2026_payment_limit,bronze_b1,"[""c73883dbddb5e5eb8397a2e5fa008e71760e81236c9ee5b5d92f4918daeead2e""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:c73883dbddb5e5eb8397a2e5fa008e71760e81236c9ee5b5d92f4918daeead2e,bronze_b2
