acquisition_status,archive_page,archive_period,byte_size,checksum_sha256,file_name,id,licence_gate,raw_payload_included,raw_redistribution_status,rights_source,source_byte_verified,source_url,source_version_id,structured_format,transformation
cached,https://www.pbs.gov.au/info/publication/schedule/2010,2010-03-01,530774,0c66edaaa016f8a2fe5df7100e1bccd2ce1fb4788585bafb5f13050a53dd5195,2010-03-01-general-schedule-soc.pdf,au_pbs_archive_6e8e56ab02d4cfa1,public_reuse_review,False,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2010/2010-03-01-general-schedule-soc.pdf?variant=3,au_pbs_archive_2010_03_01_6e8e56ab02d4,,metadata_and_checksum_projection_only
cached,https://www.pbs.gov.au/info/publication/schedule/2010,2010-08-01,337393,a077ef091d980ce3c5c4f49a8fc4ea1b41fbe4a9086ffdb9e3680f546b6ea20c,2010-08-01-chemotherapy-booklet.pdf,au_pbs_archive_6ea4bb05606c49c9,public_reuse_review,False,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2010/2010-08-01-chemotherapy-booklet.pdf?variant=3,au_pbs_archive_2010_08_01_6ea4bb05606c,,metadata_and_checksum_projection_only
cached,https://www.pbs.gov.au/info/publication/schedule/2011,2011-12-01,2755104,3b5fc7c3992498891bfdc983dab9a4c9f4743b7e406abdecec461c23b0db4b25,2011-12-01-dental-book.pdf,au_pbs_archive_6ed2f8a9298ccabb,public_reuse_review,False,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2011/12/2011-12-01-dental-book.pdf?variant=3,au_pbs_archive_2011_12_01_6ed2f8a9298c,,metadata_and_checksum_projection_only
cached,https://www.pbs.gov.au/info/publication/schedule/2007,2007-07-01,449847,a19b1ac6ab433d552a6a5bdcc69ff02f3166f33a7425ef0ece5610e1d0d97144,2007-07-01-dental-book.pdf,au_pbs_archive_6ee5b8c29b28efeb,public_reuse_review,False,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2007/2007-07-01-dental-book.pdf?variant=3,au_pbs_archive_2007_07_01_6ee5b8c29b28,,metadata_and_checksum_projection_only
cached,https://www.pbs.gov.au/info/publication/schedule/2010,2010-05-01,4487833,fb9ac453b9f3886c98bf1c539c5195c9448f349d9079a01c8433c12bf40f284f,2010-05-01-general-schedule.pdf,au_pbs_archive_6f0076e4d7e3ddd1,public_reuse_review,False,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2010/2010-05-01-general-schedule.pdf?variant=3,au_pbs_archive_2010_05_01_6f0076e4d7e3,,metadata_and_checksum_projection_only
cached,https://www.pbs.gov.au/info/publication/schedule/2015,2015-03-01,8657575,509caf8b4c6b60904d81d208ceb7904fad3b82bebdb024828f9cc1c9eb745286,2015-03-01-general-schedule.pdf,au_pbs_archive_6fa30017348ceb65,public_reuse_review,False,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2015/03/2015-03-01-general-schedule.pdf?variant=3,au_pbs_archive_2015_03_01_6fa30017348c,,metadata_and_checksum_projection_only
cached,https://www.pbs.gov.au/info/publication/schedule/2015,2015-12-01,18001906,78a03729f19fcfd6bd647e3a33f519d8e16f3969f32a8c106333ba4ba7ca4d4b,2015-12-01-general-schedule.pdf,au_pbs_archive_6fab7f7d852501da,public_reuse_review,False,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2015/12/2015-12-01-general-schedule.pdf?variant=3,au_pbs_archive_2015_12_01_6fab7f7d8525,,metadata_and_checksum_projection_only
cached,https://www.pbs.gov.au/info/publication/schedule/2003,2003-08-01,2824711,5b96f333691423e29e403ed2cabbc23807ea2cf85fea6fd8a997796f24c77d0a,2003-08-01-general-schedule.pdf,au_pbs_archive_6fc9eb52cb0e4521,public_reuse_review,False,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2003/2003-08-01-general-schedule.pdf?variant=3,au_pbs_archive_2003_08_01_6fc9eb52cb0e,,metadata_and_checksum_projection_only
cached,https://www.pbs.gov.au/info/publication/schedule/2023,2023-07-01,10633550,06085e3f808a1a4a37796702af73c3a03b5857406082f94379f87702afd90cbb,2023-07-01-general-schedule-volume-2.pdf,au_pbs_archive_706f2e214fef1cec,public_reuse_review,False,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2023/07/2023-07-01-general-schedule-volume-2.pdf?variant=3,au_pbs_archive_2023_07_01_706f2e214fef,,metadata_and_checksum_projection_only
cached,https://www.pbs.gov.au/info/publication/schedule/2018,2018-05-01,643284,54aef55d8c4a22957a744125bb4ffc65444706f73acf3738e08909e617904d57,2018-05-01-general-soc.pdf,au_pbs_archive_70a82c79371fcb46,public_reuse_review,False,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2018/05/2018-05-01-general-soc.pdf?variant=3,au_pbs_archive_2018_05_01_70a82c79371f,,metadata_and_checksum_projection_only
