added_columns,id,left_checksum_sha256,left_label,left_path,left_row_count,recommended_action,removed_columns,right_checksum_sha256,right_label,right_path,right_row_count,row_count_delta,row_count_delta_pct,status
[],source_drift_source_registry_jsonl_to_source_registry_csv,0dc42eb46f6cd518dac33878004279bb5b92aa41409012e4b40fe7869ea82b2d,source_registry_jsonl,data/seed/source_registry.jsonl,60,No schema or row-count drift detected.,[],5ccb136589b0fc895f4bd9840ad2e09da5add83fa7af339cffa87755c808f4fb,source_registry_csv,data/seed/source_registry.csv,60,0,0.0,pass
[],source_drift_dataset_candidates_jsonl_to_dataset_candidates_csv,7e4ec2e7964ae6e399951a00ad75ed28a625f0e092f946360a5ddbffc04db8db,dataset_candidates_jsonl,data/seed/dataset_candidates.jsonl,15,No schema or row-count drift detected.,[],0f96cb44526b519f72ae5f5eda42747132b8b55320f632fe584064cf1b35800f,dataset_candidates_csv,data/seed/dataset_candidates.csv,15,0,0.0,pass
[],source_drift_research_questions_jsonl_to_research_questions_csv,33c3fe815ba6f5e8f8a7d37027f9683a7de2206a20faa6620d70823e0a5b56bf,research_questions_jsonl,data/seed/research_questions.jsonl,5,No schema or row-count drift detected.,[],a470bef54b603b7ae5d5624c4bf3684143ff48793c5bae028181fce8bc0a20c9,research_questions_csv,data/seed/research_questions.csv,5,0,0.0,pass
[],source_drift_roadmap_functions_jsonl_to_roadmap_functions_csv,dc292e9e4f814b9cda84ba3eea5998a7605faa3b846e049102a46d107a0065ed,roadmap_functions_jsonl,data/seed/roadmap_functions.jsonl,28,No schema or row-count drift detected.,[],8c139dc0523c9a02c02c5b2b06c7ead128372876a6f8bd51cfdfdd66b545a7dd,roadmap_functions_csv,data/seed/roadmap_functions.csv,28,0,0.0,pass
[],source_drift_source_validation_jsonl_to_source_validation_csv,c907e4b7b3d8b5ba52932568fc50a09cada356b352c8effe39f8f96f405a355a,source_validation_jsonl,data/derived/source_validation/source_content_validation.jsonl,7,No schema or row-count drift detected.,[],c28003876a3c87948aae4f9e3184293c8fd695657ca6970439d3509602ba30ea,source_validation_csv,data/derived/source_validation/source_content_validation.csv,7,0,0.0,pass
[],source_drift_data_quality_jsonl_to_data_quality_csv,7b94f522ab4b6d08da1e30ef9325a1c3ac0a6d0d09c14949048e9d2ae58ebd86,data_quality_jsonl,data/derived/data_quality/data_quality_checks.jsonl,41,No schema or row-count drift detected.,[],7be7252801aba890bac3925361d6445ab0fd90c81f481e67541da4fa28176740,data_quality_csv,data/derived/data_quality/data_quality_checks.csv,41,0,0.0,pass
[],source_drift_source_contracts_jsonl_to_source_contracts_csv,cdd0420e0999ee612e8d3e2d78d92695ca9782114b691aab8b1ae2b97be30ce2,source_contracts_jsonl,data/derived/source_contracts/source_contract_validation.jsonl,7,No schema or row-count drift detected.,[],4dd28ba0c25bb87caed85bddd62bef13e476011d6d71dc6daa905973af0e1637,source_contracts_csv,data/derived/source_contracts/source_contract_validation.csv,7,0,0.0,pass
[],source_drift_github_project_jsonl_to_github_project_csv,8752daa1f1e553beb2c593be198ee95ea899d9f4fcc7ac09712c516cd504039a,github_project_jsonl,data/derived/github_project/github_project_items.jsonl,133,No schema or row-count drift detected.,[],48609ce2704ad37903db9e5c4ef05c2b6dca148c3b6fe274f77929af10ef78d4,github_project_csv,data/derived/github_project/github_project_items.csv,133,0,0.0,pass
[],source_drift_final_handoff_jsonl_to_final_handoff_csv,2e04217ad74331f2470827828f3072d2c5a8b5a95d88e4c1e57a7533c09dd3f5,final_handoff_jsonl,data/derived/final_handoff/final_handoff_tasks.jsonl,8,No schema or row-count drift detected.,[],3d2962e9390f92c20feb09c1e881e736220f4a82c13eabf3271d775bff4283db,final_handoff_csv,data/derived/final_handoff/final_handoff_tasks.csv,8,0,0.0,pass
