action,current_uses,line,notes,ref,resolved_sha,status,suggested_uses,workflow
astral-sh/setup-uv,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,28,Already pinned to a full SHA.,fac544c07dec837d0ccb6301d7b5580bf5edae39,,skipped_sha,,.github/workflows/osf.yml
actions/setup-go,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,29,Already pinned to a full SHA.,924ae3a1cded613372ab5595356fb5720e22ba16,,skipped_sha,,.github/workflows/osf.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,53,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/osf.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,70,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/osf.yml
actions/setup-go,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,73,Already pinned to a full SHA.,924ae3a1cded613372ab5595356fb5720e22ba16,,skipped_sha,,.github/workflows/osf.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,22,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/pages.yml
astral-sh/setup-uv,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,25,Already pinned to a full SHA.,fac544c07dec837d0ccb6301d7b5580bf5edae39,,skipped_sha,,.github/workflows/pages.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,26,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/pages.yml
actions/configure-pages,actions/configure-pages@983d7736d9b0ae728b81ab479565c72886d7745b,31,Already pinned to a full SHA.,983d7736d9b0ae728b81ab479565c72886d7745b,,skipped_sha,,.github/workflows/pages.yml
actions/upload-pages-artifact,actions/upload-pages-artifact@56afc609e74202658d3ffba0e8f6dda462b719fa,50,Already pinned to a full SHA.,56afc609e74202658d3ffba0e8f6dda462b719fa,,skipped_sha,,.github/workflows/pages.yml
