added_columns,id,left_checksum_sha256,left_label,left_path,left_row_count,recommended_action,removed_columns,right_checksum_sha256,right_label,right_path,right_row_count,row_count_delta,row_count_delta_pct,status
[],source_drift_source_registry_jsonl_to_source_registry_csv,fc609dd151a0e3007104db940c89b1e29ab03bd80703a26bdd88c5e6c2d027c4,source_registry_jsonl,data/seed/source_registry.jsonl,60,No schema or row-count drift detected.,[],66c7cc67730cc6a904ff5cb928a9c26c8674c9193d712a3b2b6f5df1d0bef4bf,source_registry_csv,data/seed/source_registry.csv,60,0,0.0,pass
[],source_drift_dataset_candidates_jsonl_to_dataset_candidates_csv,7e4ec2e7964ae6e399951a00ad75ed28a625f0e092f946360a5ddbffc04db8db,dataset_candidates_jsonl,data/seed/dataset_candidates.jsonl,15,No schema or row-count drift detected.,[],0f96cb44526b519f72ae5f5eda42747132b8b55320f632fe584064cf1b35800f,dataset_candidates_csv,data/seed/dataset_candidates.csv,15,0,0.0,pass
[],source_drift_research_questions_jsonl_to_research_questions_csv,33c3fe815ba6f5e8f8a7d37027f9683a7de2206a20faa6620d70823e0a5b56bf,research_questions_jsonl,data/seed/research_questions.jsonl,5,No schema or row-count drift detected.,[],a470bef54b603b7ae5d5624c4bf3684143ff48793c5bae028181fce8bc0a20c9,research_questions_csv,data/seed/research_questions.csv,5,0,0.0,pass
[],source_drift_roadmap_functions_jsonl_to_roadmap_functions_csv,2100a8cfe5c50651ce0ca689045208d2e43534d5bb9081d7b840a5692830b9b8,roadmap_functions_jsonl,data/seed/roadmap_functions.jsonl,45,No schema or row-count drift detected.,[],7e8b6c7c1f8aba69aa0ed54dc40cc01108901da739727fe0a8166bfeeaa0155a,roadmap_functions_csv,data/seed/roadmap_functions.csv,45,0,0.0,pass
[],source_drift_source_validation_jsonl_to_source_validation_csv,cf1dfb8c94f484fa77281eda81f3025570a80819ad05fe8a66bf6a33a478aa64,source_validation_jsonl,data/derived/source_validation/source_content_validation.jsonl,11,No schema or row-count drift detected.,[],916732e9e6816161ea757cf9187a3107fb527f6020aa4dce87cbf44f6995ec6f,source_validation_csv,data/derived/source_validation/source_content_validation.csv,11,0,0.0,pass
[],source_drift_data_quality_jsonl_to_data_quality_csv,1a1d5a1e7e0ccb31e5d18e3f70e6ba75884d88438432da5d5b9a2f8d6b231782,data_quality_jsonl,data/derived/data_quality/data_quality_checks.jsonl,41,No schema or row-count drift detected.,[],64c3c5b1c8647d810395687ad91bd3669ead6bf18d18b0c4192f783d48f9d649,data_quality_csv,data/derived/data_quality/data_quality_checks.csv,41,0,0.0,pass
[],source_drift_source_contracts_jsonl_to_source_contracts_csv,471ad53481a4688592b3af7b7dca30690a70f084f8073c469b05146e1c5fa8d8,source_contracts_jsonl,data/derived/source_contracts/source_contract_validation.jsonl,11,No schema or row-count drift detected.,[],6436c78fd3d291ae63cb777ba351bf3d14ca873b28467d463eb0e806bb085146,source_contracts_csv,data/derived/source_contracts/source_contract_validation.csv,11,0,0.0,pass
[],source_drift_github_project_jsonl_to_github_project_csv,695f3dfbdf927f2e4b15fefbe88b0d17db6053db78b68f3e203e3444d8e1b408,github_project_jsonl,data/derived/github_project/github_project_items.jsonl,219,No schema or row-count drift detected.,[],6a016c415b37171a118e8ae08a36df051e2ead841569bfe302ea9596a2c57653,github_project_csv,data/derived/github_project/github_project_items.csv,219,0,0.0,pass
[],source_drift_final_handoff_jsonl_to_final_handoff_csv,2e54e048c74c25ce9bce1f1457349d84abacdbf6ab669900a9dc9ecbf566297f,final_handoff_jsonl,data/derived/final_handoff/final_handoff_tasks.jsonl,12,No schema or row-count drift detected.,[],9e287ed955cdc367a80d1a431fd43dcbd5c0ae51cf6caf6e955e9bbcf2757da9,final_handoff_csv,data/derived/final_handoff/final_handoff_tasks.csv,12,0,0.0,pass
