code_system,currency,domain,effective_from,effective_to,facility_component,item_code,item_description,item_label,jurisdiction,patient_amount,payment_amount,payment_unit,professional_component,provenance,restriction_text,setting,source_id
NHS TMC,GBP,genomics,2026-04-01,,,TMC22_test_10,,MEDIUM NEXT GENERATION SEQUENCING PANEL (BETWEEN 20-100 TARGETS/GENES) (test),England,,255.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC22_cancer_report_10,,MEDIUM NEXT GENERATION SEQUENCING PANEL (BETWEEN 20-100 TARGETS/GENES) (cancer report),England,,153.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC22_rare-disease_report_10,,MEDIUM NEXT GENERATION SEQUENCING PANEL (BETWEEN 20-100 TARGETS/GENES) (rare-disease report),England,,153.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC23_test_12,,SMALL NEXT GENERATION SEQUENCING PANEL (LESS THAN 20 TARGETS/GENES) (test),England,,189.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC23_cancer_report_12,,SMALL NEXT GENERATION SEQUENCING PANEL (LESS THAN 20 TARGETS/GENES) (cancer report),England,,98.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC23_rare-disease_report_12,,SMALL NEXT GENERATION SEQUENCING PANEL (LESS THAN 20 TARGETS/GENES) (rare-disease report),England,,98.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC31_test_14,,CHROMOSOMAL MICROARRAY (test),England,,176.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC31_cancer_report_14,,CHROMOSOMAL MICROARRAY (cancer report),England,,160.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC31_rare-disease_report_14,,CHROMOSOMAL MICROARRAY (rare-disease report),England,,104.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC32_test_15,,PYROSEQUENCING (test),England,,89.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC32_cancer_report_15,,PYROSEQUENCING (cancer report),England,,42.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
