archive_checksum_sha1_base32,archive_digest_verified,archive_replay_url,archive_timestamp,byte_size,checksum_sha1_base32,checksum_sha256,detail,id,official_source_url,raw_redistribution_status,source_id,status
IYAQCS7I3H4VNA5U32AWINJVDCT4NXDM,True,https://web.archive.org/web/20211012063138id_/https://www.pbs.gov.au/publication/schedule/2020/11/2020-11-01-general-schedule-volume-1.pdf,20211012063138,15812536,IYAQCS7I3H4VNA5U32AWINJVDCT4NXDM,1227437441b26f616651d0bcc8179b77dfcb81980ce07fd95bddffa36119305c,Existing ignored archive variant retained.,au_pbs_archive_2d3c47ade2b9e309_20211012063138_IYAQCS7I3H4VNA5U32AWINJVDCT4NXDM,https://www.pbs.gov.au/publication/schedule/2020/11/2020-11-01-general-schedule-volume-1.pdf,allowed_owner_attested_permission,au_pbs_archive_2d3c47ade2b9e309,cached
5AP4J7XZSF74R6TNTYD2ZNBZKFACXSIK,True,https://web.archive.org/web/20230310024454id_/https://www.pbs.gov.au/publication/schedule/2023/01/2023-01-01-general-schedule-volume-1.pdf,20230310024454,25833664,5AP4J7XZSF74R6TNTYD2ZNBZKFACXSIK,589896699431763600b693a598ebf30129d6a891cf6d94e879932de75ea1d4fd,Existing ignored archive variant retained.,au_pbs_archive_5c1ea1650f7f4f4e_20230310024454_5AP4J7XZSF74R6TNTYD2ZNBZKFACXSIK,https://www.pbs.gov.au/publication/schedule/2023/01/2023-01-01-general-schedule-volume-1.pdf,allowed_owner_attested_permission,au_pbs_archive_5c1ea1650f7f4f4e,cached
QW53EBCHWEIEDAEGX6JK6EBG6HRKHABO,True,https://web.archive.org/web/20211012063127id_/https://www.pbs.gov.au/publication/schedule/2021/06/2021-06-01-general-soc.pdf,20211012063127,3767099,QW53EBCHWEIEDAEGX6JK6EBG6HRKHABO,42179afdbe5ad1699623238fb4d071e7a3b2b7e4bf37551198bd6a0d88e02c10,Existing ignored archive variant retained.,au_pbs_archive_9515fa055e11bcf6_20211012063127_QW53EBCHWEIEDAEGX6JK6EBG6HRKHABO,https://www.pbs.gov.au/publication/schedule/2021/06/2021-06-01-general-soc.pdf,allowed_owner_attested_permission,au_pbs_archive_9515fa055e11bcf6,cached
HN5UW3KS4BUZNGASA5HS4AHFT5UTZ5KH,True,https://web.archive.org/web/20120227130402id_/http://www.pbs.gov.au/publication/schedule/2011/05/2011-05-01-general-schedule.pdf,20120227130402,5249813,HN5UW3KS4BUZNGASA5HS4AHFT5UTZ5KH,63700cc67aa607dbeebce5225ca2f65706e8481ad79cb01b85a146ef3dcc2518,Archived variant preserved in ignored local storage.,au_pbs_archive_95325f419807d23c_20120227130402_HN5UW3KS4BUZNGASA5HS4AHFT5UTZ5KH,https://www.pbs.gov.au/publication/schedule/2011/05/2011-05-01-general-schedule.pdf,allowed_owner_attested_permission,au_pbs_archive_95325f419807d23c,downloaded
I5URMVUJKJOCEM23H5JWLUU5MYLWICXY,True,https://web.archive.org/web/20230310024638id_/https://www.pbs.gov.au/publication/schedule/2023/01/2023-01-01-general-schedule-volume-2.pdf,20230310024638,13759104,I5URMVUJKJOCEM23H5JWLUU5MYLWICXY,091b4b03ffce887bfeb9a858557654c864459deca1bb18d2a3d5aa9a90d416d1,Existing ignored archive variant retained.,au_pbs_archive_ddc602e635244f70_20230310024638_I5URMVUJKJOCEM23H5JWLUU5MYLWICXY,https://www.pbs.gov.au/publication/schedule/2023/01/2023-01-01-general-schedule-volume-2.pdf,allowed_owner_attested_permission,au_pbs_archive_ddc602e635244f70,cached
