code_system,currency,domain,effective_from,effective_to,facility_component,item_code,item_description,item_label,jurisdiction,patient_amount,payment_amount,payment_unit,professional_component,provenance,restriction_text,setting,source_id
HCPCS_PFS,USD,medical_services,2026-01-01,,False,46505,,PFS code 46505,United States,,357.12,service,True,"{""effective_date"": ""2026-01-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-01T00:00:00Z"", ""source_id"": ""us_cms_pfs"", ""source_url"": ""https://www.cms.gov/medicare/physician-fee-schedule"", ""source_version"": ""us_cms_pfs_2026_revision_c_carrier"", ""transformation_notes"": ""Parsed CMS carrier pricing public numeric fields; CPT descriptors are intentionally excluded from this derived bundle.""}",status=A,carrier=01112;locality=59;modifier=none,us_cms_pfs
HCPCS_PFS,USD,medical_services,2026-01-01,,False,46505,,PFS code 46505,United States,,357.12,service,True,"{""effective_date"": ""2026-01-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-01T00:00:00Z"", ""source_id"": ""us_cms_pfs"", ""source_url"": ""https://www.cms.gov/medicare/physician-fee-schedule"", ""source_version"": ""us_cms_pfs_2026_revision_c_carrier"", ""transformation_notes"": ""Parsed CMS carrier pricing public numeric fields; CPT descriptors are intentionally excluded from this derived bundle.""}",status=A,carrier=01112;locality=60;modifier=none,us_cms_pfs
HCPCS_PFS,USD,medical_services,2026-01-01,,False,46505,,PFS code 46505,United States,,357.12,service,True,"{""effective_date"": ""2026-01-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-01T00:00:00Z"", ""source_id"": ""us_cms_pfs"", ""source_url"": ""https://www.cms.gov/medicare/physician-fee-schedule"", ""source_version"": ""us_cms_pfs_2026_revision_c_carrier"", ""transformation_notes"": ""Parsed CMS carrier pricing public numeric fields; CPT descriptors are intentionally excluded from this derived bundle.""}",status=A,carrier=01112;locality=61;modifier=none,us_cms_pfs
HCPCS_PFS,USD,medical_services,2026-01-01,,False,46505,,PFS code 46505,United States,,363.05,service,True,"{""effective_date"": ""2026-01-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-01T00:00:00Z"", ""source_id"": ""us_cms_pfs"", ""source_url"": ""https://www.cms.gov/medicare/physician-fee-schedule"", ""source_version"": ""us_cms_pfs_2026_revision_c_carrier"", ""transformation_notes"": ""Parsed CMS carrier pricing public numeric fields; CPT descriptors are intentionally excluded from this derived bundle.""}",status=A,carrier=01112;locality=62;modifier=none,us_cms_pfs
HCPCS_PFS,USD,medical_services,2026-01-01,,False,46505,,PFS code 46505,United States,,373.88,service,True,"{""effective_date"": ""2026-01-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-01T00:00:00Z"", ""source_id"": ""us_cms_pfs"", ""source_url"": ""https://www.cms.gov/medicare/physician-fee-schedule"", ""source_version"": ""us_cms_pfs_2026_revision_c_carrier"", ""transformation_notes"": ""Parsed CMS carrier pricing public numeric fields; CPT descriptors are intentionally excluded from this derived bundle.""}",status=A,carrier=01112;locality=63;modifier=none,us_cms_pfs
HCPCS_PFS,USD,medical_services,2026-01-01,,False,46505,,PFS code 46505,United States,,372.48,service,True,"{""effective_date"": ""2026-01-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-01T00:00:00Z"", ""source_id"": ""us_cms_pfs"", ""source_url"": ""https://www.cms.gov/medicare/physician-fee-schedule"", ""source_version"": ""us_cms_pfs_2026_revision_c_carrier"", ""transformation_notes"": ""Parsed CMS carrier pricing public numeric fields; CPT descriptors are intentionally excluded from this derived bundle.""}",status=A,carrier=01112;locality=64;modifier=none,us_cms_pfs
HCPCS_PFS,USD,medical_services,2026-01-01,,False,46505,,PFS code 46505,United States,,443.14,service,True,"{""effective_date"": ""2026-01-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-01T00:00:00Z"", ""source_id"": ""us_cms_pfs"", ""source_url"": ""https://www.cms.gov/medicare/physician-fee-schedule"", ""source_version"": ""us_cms_pfs_2026_revision_c_carrier"", ""transformation_notes"": ""Parsed CMS carrier pricing public numeric fields; CPT descriptors are intentionally excluded from this derived bundle.""}",status=A,carrier=01112;locality=65;modifier=none,us_cms_pfs
HCPCS_PFS,USD,medical_services,2026-01-01,,False,46505,,PFS code 46505,United States,,383.81,service,True,"{""effective_date"": ""2026-01-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-01T00:00:00Z"", ""source_id"": ""us_cms_pfs"", ""source_url"": ""https://www.cms.gov/medicare/physician-fee-schedule"", ""source_version"": ""us_cms_pfs_2026_revision_c_carrier"", ""transformation_notes"": ""Parsed CMS carrier pricing public numeric fields; CPT descriptors are intentionally excluded from this derived bundle.""}",status=A,carrier=01112;locality=66;modifier=none,us_cms_pfs
HCPCS_PFS,USD,medical_services,2026-01-01,,False,46505,,PFS code 46505,United States,,387.61,service,True,"{""effective_date"": ""2026-01-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-01T00:00:00Z"", ""source_id"": ""us_cms_pfs"", ""source_url"": ""https://www.cms.gov/medicare/physician-fee-schedule"", ""source_version"": ""us_cms_pfs_2026_revision_c_carrier"", ""transformation_notes"": ""Parsed CMS carrier pricing public numeric fields; CPT descriptors are intentionally excluded from this derived bundle.""}",status=A,carrier=01112;locality=67;modifier=none,us_cms_pfs
HCPCS_PFS,USD,medical_services,2026-01-01,,False,46505,,PFS code 46505,United States,,357.12,service,True,"{""effective_date"": ""2026-01-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-01T00:00:00Z"", ""source_id"": ""us_cms_pfs"", ""source_url"": ""https://www.cms.gov/medicare/physician-fee-schedule"", ""source_version"": ""us_cms_pfs_2026_revision_c_carrier"", ""transformation_notes"": ""Parsed CMS carrier pricing public numeric fields; CPT descriptors are intentionally excluded from this derived bundle.""}",status=A,carrier=01112;locality=68;modifier=none,us_cms_pfs
